county,population,total_offender_count,total_offender_count_homeless,total_offender_count_non_incarcerated,total_offender_count_civilly_comitted,total_offender_count_incarcerated,per_capita_all,per_capita_homeless,per_capita_non_incarcerated,per_capita_civilly_comitted,per_capita_incarcerated
Greensville County,11126,53,0,48,0,5,0.004763616753550243,0.0,0.004314218946611541,0.0,0.00044939780693870214
Middlesex County,10960,65,0,41,0,24,0.005930656934306569,0.0,0.003740875912408759,0.0,0.0021897810218978104
Essex County,10748,48,0,46,0,2,0.00446594715295869,0.0,0.004279866021585412,0.0,0.00018608113137327876
Sussex County,10712,49,0,41,0,8,0.004574309185959672,0.0,0.0038274831964152352,0.0,0.0007468259895444362
Cumberland County,10249,46,0,45,0,1,0.00448824275539077,0.0,0.004390672260708362,0.0,9.757049468240804e-05
Richmond County,9268,61,0,30,0,31,0.006581786793267156,0.0,0.0032369443245576176,0.0,0.0033448424687095384
Mathews County,8636,25,0,24,0,1,0.0028948587308939323,0.0,0.002779064381658175,0.0,0.0001157943492357573
Franklin city,8430,42,0,41,0,1,0.00498220640569395,0.0,0.004863582443653618,0.0,0.00011862396204033214
Lexington city,8048,21,0,11,0,10,0.0026093439363817097,0.0,0.0013667992047713719,0.0,0.001242544731610338
Rappahannock County,7503,21,0,19,0,2,0.0027988804478208716,0.0,0.002532320405171265,0.0,0.0002665600426496068
King and Queen County,6748,28,0,28,0,0,0.004149377593360996,0.0,0.004149377593360996,0.0,0.0
Galax city,6679,68,3,62,0,6,0.010181164845036682,0.0004491690372810301,0.009282826770474623,0.0,0.0008983380745620602
Buena Vista city,6588,35,0,34,0,1,0.005312689738919247,0.0,0.0051608986035215545,0.0,0.00015179113539769278
Surry County,6583,32,0,31,0,1,0.004861005620537749,0.0,0.0047090991948959444,0.0,0.00015190642564180464
Charles City County,6493,24,0,24,0,0,0.003696288310488218,0.0,0.003696288310488218,0.0,0.0
Bland County,6151,21,0,20,0,1,0.0034140790115428387,0.0,0.003251503820516989,0.0,0.00016257519102584944
Covington city,5715,42,0,32,0,10,0.007349081364829396,0.0,0.0055993000874890635,0.0,0.0017497812773403325
Emporia city,5325,34,0,30,0,4,0.006384976525821596,0.0,0.005633802816901409,0.0,0.0007511737089201878
Craig County,4831,14,0,14,0,0,0.002897950734837508,0.0,0.002897950734837508,0.0,0.0
Bath County,4072,13,0,11,0,2,0.0031925343811394892,0.0,0.0027013752455795677,0.0,0.0004911591355599214
Norton city,3455,21,0,19,0,2,0.006078147612156295,0.0,0.005499276410998553,0.0,0.0005788712011577424
Highland County,2345,5,0,5,0,0,0.0021321961620469083,0.0,0.0021321961620469083,0.0,0.0
